uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
Doğuş,İçecek,Çay,,,,,,Doğuş Çay Karadeniz Tiryaki 1 kg,,https://img.istegelsin.com/a0214d8e4814433c955a1eda3111961a.jpg,
Nescafe,İçecek,Kahve,,,,,,Nescafe Classic 20x2 gr,,https://img.istegelsin.com/7e13611a38b14d95b7c2e21e90fbc51c.jpg,
Sırmakeş,İçecek,Su,,,,,,Sırmakeş Bardak Su 300 ml 40'lı,,https://img.istegelsin.com/4381fb95cd944cff86aec927189b62c3.jpg,
San Pellegrino,İçecek,Soda,,,,,,San Pellegrino 750 ml,,https://img.istegelsin.com/66890d8759744a5ca643261ff8f63269.jpg,
San Pellegrino,İçecek,Soda,,,,,,San Pellegrino 250 ml,,https://img.istegelsin.com/093f9de1027c43199723392cf866fdc1.jpg,
Doğuş,İçecek,Çay,,,,,,Doğuş Çay Gurme Siyah 1 kg,,https://img.istegelsin.com/b90f005a3f4a4696b042e336611f3787.jpg,
Nescafe,İçecek,Kahve,,,,,,Nescafe Gold 14x2 gr,,https://img.istegelsin.com/62611497dd394d35941251d410a126fd.jpg,
Gloria Jean's,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Gloria Jeans Special Espresso Blend Kapsül kahve 10'lu,,https://img.istegelsin.com/special_espresso.jpg,
Uludağ,İçecek,Gazlı İçecek,,,,,,Uludağ Efsane Gazoz Cam 6x250 ml,,https://img.istegelsin.com/44274bcb750042d7aba98ce0f5815661.jpg,
Gloria Jean's,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Gloria Jeans Guatemala Kapsül kahve 10'lu,,https://img.istegelsin.com/Guatemala.jpg,
Nish Kahve,İçecek,Kahveler İçin Diğer,,,,,,Nish Karamel Aromalı Şurup 700 ml,,https://img.istegelsin.com/4e5e0ff0bdb64f18a2e3babbd08fa595.jpg,
Uludağ,İçecek,Gazlı İçecek,,,,,,Uludağ Efsane Gazoz Şekersiz Cam 6x250 ml,,https://img.istegelsin.com/9c134cbe02eb44df8549de7960aaefa5.jpg,
Jacobs,İçecek,Kahve,,,,,,Jacobs Monarch Hazır Kahve 66 gr,,https://img.istegelsin.com/86cc5a61c6e44f1bb227e8dbf0830877.jpg,
Jacobs,İçecek,Kahve,,,,,,Jacobs Monarch Hazır Kahve 100 gr,,https://img.istegelsin.com/69f831291201428193876b1421bacef1.jpg,
Nish Kahve,İçecek,Kahveler İçin Diğer,,,,,,Nish Çikolata Aromalı Şurup 700 ml,,https://img.istegelsin.com/c747e35dfe2b4ed6a6e61be251b3fe28.jpg,
