uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola 2.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-25-lt
Cola Turka,icecekler,"Kola, Fanta",,,,,,Cola Turka 2.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/cola-turka-25-lt
Cola Turka,icecekler,"Kola, Fanta",,,,,,Cola Turka Pet 4x1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/cola-turka-pet-4x1-lt
Pepsi,icecekler,"Kola, Fanta",,,,,,Pepsi Cola Pet 4x1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/pepsi-cola-pet-4x1-lt
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-15-lt
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola 4x1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-4x1-lt
Cola Turka,icecekler,"Kola, Fanta",,,,,,Cola Turka 330 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/cola-turka-330-ml
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola Şekersiz 4x1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-sekersiz-4x1-lt
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola Light 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-light-15-lt
Pepsi,icecekler,"Kola, Fanta",,,,,,Pepsi Cola Pet 450 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/pepsi-cola-pet-450-ml
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola Pet 450 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-pet-450-ml
Cola Turka,icecekler,"Kola, Fanta",,,,,,Cola Turka 200 ml Cam Şişe,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/cola-turka-200-ml-cam-sise
Pepsi,icecekler,"Kola, Fanta",,,,,,Pepsi Cola Pet 2.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/pepsi-cola-pet-25-lt
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola Şekersiz Pet 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-sekersiz-pet-1-lt
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola Şekersiz 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-sekersiz-15-lt
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola Şekersiz Pet 450 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-sekersiz-pet-450-ml
Pepsi,icecekler,"Kola, Fanta",,,,,,Pepsi Cola 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/pepsi-cola-15-lt
Cola Turka,icecekler,"Kola, Fanta",,,,,,Cola Turka 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/cola-turka-15-lt
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola Şekersiz 200 ml Cam,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-sekersiz-200-ml-cam
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola Light Kutu 250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-light-kutu-250-ml
Pepsi,icecekler,"Kola, Fanta",,,,,,Pepsi Cola 4x250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/pepsi-cola-4x250-ml
Pepsi,icecekler,"Kola, Fanta",,,,,,Pepsi Max Kutu 4x250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/pepsi-max-kutu-4x250-ml
Pepsi,icecekler,"Kola, Fanta",,,,,,Pepsi Max 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/pepsi-max-15-lt
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola Şekersiz 6x200 ml Cam,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-sekersiz-6x200-ml-cam
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola 6x200 ml Cam,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-6x200-ml-cam
Coca Cola,icecekler,"Kola, Fanta",,,,,,Coca Cola 6x250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/coca-cola-6x250-ml
